radius_bias_-1,vg_bias_-1,radius_bias_0,vg_bias_0,radius_bias_1,vg_bias_1
,,,,,
,,,,,
5.4617415898102276e-05,11.542186110063767,0.0004896807691890789,35.32096138511001,0.0005945818945700416,67.64445017127822
-4.58747763908314e-05,3.0006365419612706,0.00019555365080958353,20.22862252303321,-0.0001781062789389708,52.57355345121143
6.789946146588781e-05,1.2416401169174875,-1.4286551290628238e-05,14.011500825856828,0.0001383627384974554,24.14073578656543
-3.853428870263971e-05,1.5780450802873247,7.71281230864413e-05,7.513895280529503,0.00010311370789822111,10.348488992847066
4.63119726768213e-05,0.16612317802088228,0.00012559244334835878,0.6763658308274856,0.00017196520300369507,0.42689015346212855
-3.1980428603712446e-05,-0.5358411724081229,-0.00014420828508082857,-2.2465645822298406,-0.00021830253196472235,-3.3086499544794883
-1.657854443478865e-05,-0.4414240703768755,-0.00010023398461825317,-3.372854380390809,-9.036316407013897e-05,-6.0054950071206115
-1.779606491810956e-05,-0.15997774261474795,0.00015657554025858694,-2.6610213627154167,-3.372210359145131e-05,-6.374981725967878
-1.3579483971633277e-06,0.006769593607630853,4.098342629457394e-05,-0.7926497734256,0.00011423689836256856,-4.658975596783931
1.8802363640147562e-05,-0.06447668814341512,-0.00010169416246105789,-0.3887000255935238,-6.041671514235916e-05,-2.007648625257758
5.213175619794841e-05,-0.011347462448389578,1.8543151504700484e-05,-0.2709978899172949,-2.7346089130284024e-06,-1.2100169404801626
-3.783802207462869e-05,-0.05837235662107343,0.00014378869873676522,-0.5902939988565352,-8.023474645827908e-05,-1.2381517535856803
-0.00014109175479816785,-0.09584255061002356,-0.000270904305817634,-0.28221404756169655,-0.0005448250481205515,-0.648152285570653
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
