radius_bias_-1,vg_bias_-1,radius_bias_0,vg_bias_0,radius_bias_1,vg_bias_1
,,,,,
,,,,,
0.00013675570707487924,1.2505911414011734,0.0004550333385917966,41.00348503054326,0.0004258787487310357,79.35651178207456
-2.0334658479895934e-05,0.8900174430672649,1.612008234678792e-05,26.606806106943722,0.00019423130415194018,47.969718370997626
1.6953422839265445e-05,0.9366926716179336,3.717611397012488e-05,15.440314516178695,0.0001450411653365572,24.356979111699772
-1.0122345024211887e-05,1.0349942686708502,7.063650779191681e-05,7.011122444725046,0.00023311631136588642,8.005645354032737
3.859666673431891e-06,0.017933510694092547,1.783124536417803e-05,-0.05466207125472877,2.227076320836241e-05,-0.4100844504110519
-2.3592463390311597e-06,-0.45426687433553425,-0.00010009221600007848,-3.2207593495401134,-0.0002205256249489633,-4.432745174366115
4.3938942584934026e-05,-0.2202533379557785,6.981348094791187e-05,-4.103293520003543,-0.00011954051248162442,-7.166698215196323
-3.1176830775161285e-05,-0.04754735068691396,0.00011029470248739501,-2.0741381476830867,8.821523654858887e-05,-7.685224359228805
-2.5341402861488865e-05,-0.06498018739948641,3.3969553087646875e-05,-0.8480695730773675,8.914562130779916e-05,-4.960154644554667
8.34134229446698e-05,-0.025536440496065183,0.00010165506600558205,-0.6521914594298934,-6.644128691692466e-05,-2.4350828860548503
5.89098140185082e-05,-0.014543268870397696,-2.278161841198778e-05,-0.025425459611987833,-0.00011215214137804894,-2.050671471215818
1.8762606245663338e-05,-0.05487695679959437,-0.00026279753554060356,-0.8455546472252866,0.00011826414782525885,-1.114155499264709
-0.00025914098901159976,-0.08223868514207044,-0.0003627714391927876,-0.4980507350971841,-0.0005193602137756048,-0.23369500119493658
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
