logg_bias_-1,vg_bias_-1,logg_bias_0,vg_bias_0,logg_bias_1,vg_bias_1
-0.008753177050438765,-0.6321201324777936,0.007650727632818821,-1.445381209960078,-0.02656314508125579,-2.418285000997569
0.014548111816354847,-0.5056090735473191,0.0036078405962420845,-1.253324590606848,-0.005468059898236177,-1.846498881167955
0.003837218514812335,-0.7870290442784587,-0.002332746779412531,-1.0003073436399141,0.0041129518051743474,-1.6446994510382211
-0.0009385689081078397,-0.5676075069339337,-0.0002955457178375198,-0.9951155760485939,0.0007699610581504146,-1.8790761381713494
-0.011143446593592898,-0.7161407065697976,0.0018426002610212322,-1.2165040364783657,-0.0058625063517450116,-3.32372235073497
0.0018883208882298774,-0.7249706112714573,-0.00177111954507847,-2.548743950486804,-0.0007602283419068101,-4.7005613734053515
-0.0019197756356810203,-1.9997537554652993,-0.0005365595671040779,-3.725670673305835,0.004311407082831842,-5.075565339804175
0.0012588816568390726,-2.504508268000773,-0.00016399489730023475,-3.721461084894095,0.005638161437607536,-4.390192997481595
0.0007597139731654323,-1.859805511899637,0.0011988116527685833,-2.518105040930049,0.004576425847409915,-2.8368354316547695
0.0010785225984912827,-0.31625334492840906,0.0008021938539064521,-0.5012009840121152,-0.0015190652914958136,-0.7691888323500251
-0.004603762421705682,1.468218780946959,-0.005134096746136407,1.866226871772291,-0.004699795686928354,2.039604416553047
-0.003070215691568734,3.41419883217894,-0.002891985637587524,4.808525997748603,-0.001045152299669283,5.517915954939134
0.005559711990896332,4.060565082572936,0.0020350631115917395,7.093053922498875,0.003664797497343386,9.035669609197917
-0.0017122804160738525,2.6221700706126754,0.0018776309934818158,7.450382029746791,0.006441843804617875,11.653225915043386
-0.0011812070392451801,3.5863187296402614,0.00350275852670201,7.90204262549635,-0.006727145532986256,12.001253028085706
0.0030075447790203214,5.8883668205089705,-0.0008368574978998566,8.141547760103236,-0.0035302091131264035,13.517583822879331
0.013279209644721846,6.063109339080697,0.0062197126841585515,9.43217523715866,-0.004870893330149784,15.663010181021647
-0.008651921391610529,2.059893526526537,-0.006051866335178957,9.386546085411439,-0.013875400232310042,17.262441496178795
-0.007679273059771674,3.4724546735740347,0.03671926102940759,19.86455867816906,0.02061800324583274,23.564131938443055
0.012525868842262255,6.164835834300902,0.04402653515418642,26.29969813503095,0.002415886437651338,21.30724813942932
