logg_bias_-1,vg_bias_-1,logg_bias_0,vg_bias_0,logg_bias_1,vg_bias_1
-0.00790074558779974,-0.39702817550322944,0.0008019691068579249,-0.7115183626629076,-0.013310778796912004,-1.3067404996414922
0.009209943561608647,-0.1576836945808182,0.004225456001273109,-0.43716026517079776,-0.0038633300909483026,-0.8506818819586535
-0.0070591256174825645,-0.4692750416217457,-0.0009622982128583146,-0.4458676508754138,0.00966515486604802,-0.597591769026117
-0.006319561995992373,-0.39120822635824304,0.004902391632886527,-0.2770242918192114,-0.0038889536015753734,-0.8660401917538234
-0.004009387811151122,-0.16962880623589527,0.0006538571788903269,-0.4974529287870073,-0.005734705544993446,-1.6632763950421943
-0.0008793065669276956,-0.6881372782229978,-0.0018703307360681265,-1.5730134091854744,-0.0054842275776447735,-2.963013205636205
0.00280954138601075,-1.1194036104335368,0.0006011206594642715,-2.4701112820653996,-0.0024032439950518736,-3.5462721556830097
-0.00049370393022663,-1.3844609071068135,-0.0008214934903048032,-2.3479373440408366,0.004471824016078152,-2.840962551020702
0.0024554018298204028,-0.8261125604328861,-0.0011073411731965521,-1.4674996115218129,0.001709346785975896,-1.615508860428342
-0.0023002645379150977,0.14441967600737016,-0.001287522200291491,0.1066563855299485,-0.002389472177591223,0.22602633684311257
-0.0055323181756943285,1.3232411899864793,-0.002821525562529459,2.0235330502576403,-0.007098129206827508,2.4175875439641317
-6.345680068697845e-05,2.3627987564881323,-0.0023293855746544523,3.672138717314361,-0.0011150955730485634,5.016648225132805
0.0020719642727637932,1.4791029984683135,0.005594937226948815,3.9435736521539724,0.003291595339076636,6.315032014075108
0.002617765445757314,1.4208373868146253,-0.001403158669562643,2.772889894182356,0.0034322407784443953,6.574255815264742
-0.00437502611316809,2.015770643502563,-0.0030466082903046754,3.8196922981405734,-0.0036890350410168082,7.212038158015218
0.006655989916543703,3.1493029371675334,0.007786227912628618,6.794422601435272,0.00853407719852406,9.934268117516332
0.007222148729670863,3.5167753931299757,0.02307920934454266,10.202217323461298,-0.0023889090213593533,8.812450853303446
0.00017224862491360682,4.7101354691930055,-0.008855997909616775,3.01801371703759,-0.004460238568931629,8.131589383103474
0.013944603135099598,4.6667803397387075,0.02240611776689505,1.3828210791471633,0.006149654559923334,7.253430697266452
-0.01908840379076082,-2.6945780161830584,-0.018235058292551898,-1.9637451647581656,0.010320955936801823,7.603946259975345
