radius_bias_-1,vg_bias_-1,radius_bias_0,vg_bias_0,radius_bias_1,vg_bias_1
,,,,,
,,,,,
0.00016912900369707613,-0.6203269737687549,0.00035432021000791035,36.8826867844862,0.0004001691173365551,75.26810846739156
0.00012035878105323087,-1.2595861061918185,-0.00027779161787189026,31.024208195532083,-6.90366824112271e-05,51.55466437666124
-3.074512420013671e-05,1.4935574974413015,5.401772288946352e-05,14.92882007120211,0.00022111303222975207,23.07877257979758
-9.760396818828815e-06,1.0295676151618025,0.00011911785343369889,6.321579944896655,0.0001474540844212304,8.806674708825295
1.152066023967814e-05,-0.02170254654658521,3.0302350588781377e-05,-0.15692947734724072,4.3201850767185523e-05,-0.18867884634824605
4.0700448060704275e-06,-0.4269187957353431,-0.000140723810875671,-3.053959905128469,-0.00022380683412137614,-4.199821845595576
-1.5675405000931814e-05,-0.09702121071251923,0.0001428767856797089,-4.20379355678736,-3.2046440565654255e-05,-6.898210590211917
-1.3777639202433578e-05,-0.07036951190495877,5.0669394899741094e-05,-1.9168319710904882,-2.021380508958337e-05,-7.704500253152851
-9.30199394083217e-06,-0.011783996229574711,2.243346907311594e-05,-1.1836416790220916,9.923583574945535e-05,-4.9567394720599545
-1.9761757811077862e-05,-0.004398414291310715,9.902867826335621e-05,-0.45193084206017353,-6.750927584192601e-05,-2.813871376096584
0.00011973309484507311,-0.08947431098756198,0.00010223858593500293,-0.6301613853995391,6.738200167598352e-05,-1.5948839496194633
0.00014115929946199174,0.0018407334509866757,-7.860949218185115e-06,-0.3786991239899562,-0.0002739770687820442,-1.1523103111885087
-6.703588433508434e-05,0.14865567228457444,0.00015052584369877609,-0.3327254212077122,-0.0006616289710911043,-1.039545255896428
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
