radius_bin_id,Bin_range,Bin_center,mean_radii_SDSSV_LSR,e_mean_radii_SDSSV_LSR,mean_RVs_SDSSV_LSR,e_mean_RVs_SDSSV_LSR,mass_SDSSV_LSR,e_mass_SDSSV_LSR,num_obs_per_bin_SDSSV_LSR,mean_radii_eSDSS_LSR,e_mean_radii_eSDSS_LSR,mean_RVs_eSDSS_LSR,e_mean_RVs_eSDSS_LSR,mass_eSDSS_LSR,e_mass_eSDSS_LSR,num_obs_per_bin_eSDSS_LSR,mean_radii_All_LSR,e_mean_radii_All_LSR,mean_RVs_All_LSR,e_mean_RVs_All_LSR,mass_All_LSR,e_mass_All_LSR,num_obs_per_bin_All_LSR,mean_radii_SDSSV_asym,e_mean_radii_SDSSV_asym,mean_RVs_SDSSV_asym,e_mean_RVs_SDSSV_asym,mass_SDSSV_asym,e_mass_SDSSV_asym,num_obs_per_bin_SDSSV_asym,mean_radii_eSDSS_asym,e_mean_radii_eSDSS_asym,mean_RVs_eSDSS_asym,e_mean_RVs_eSDSS_asym,mass_eSDSS_asym,e_mass_eSDSS_asym,num_obs_per_bin_eSDSS_asym,mean_radii_All_asym,e_mean_radii_All_asym,mean_RVs_All_asym,e_mean_RVs_All_asym,mass_All_asym,e_mass_All_asym,num_obs_per_bin_All_asym,mean_radii_SDSSV_debias,e_mean_radii_SDSSV_debias_sys,e_mean_radii_SDSSV_debias,mean_RVs_SDSSV_debias,e_mean_RVs_SDSSV_debias_sys,e_mean_RVs_SDSSV_debias,num_obs_per_bin_SDSSV_debias,mean_radii_eSDSS_debias,e_mean_radii_eSDSS_debias_sys,e_mean_radii_eSDSS_debias,mean_RVs_eSDSS_debias,e_mean_RVs_eSDSS_debias_sys,e_mean_RVs_eSDSS_debias,num_obs_per_bin_eSDSS_debias,mean_radii_All_debias,e_mean_radii_All_debias_sys,e_mean_radii_All_debias,mean_RVs_All_debias,e_mean_RVs_All_debias_sys,e_mean_RVs_All_debias,num_obs_per_bin_All_debias,mass_SDSSV_debias,e_mass_SDSSV_debias,mass_eSDSS_debias,e_mass_eSDSS_debias,mass_All_debias,e_mass_All_debias
0,[0.    0.002],0.001,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,
1,[0.002 0.004],0.003,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,
2,[0.004 0.006],0.005,0.0056421110285557,0.0005485791938258,54.34709593815879,5.358982260928114,0.481609783846466,0.0666935164598625,6,0.0054300921742617,0.0001984535923646,110.98896501553482,3.696844038020606,0.946595278040394,0.0468073937039642,21,0.005454628027362,0.0001866176308444,92.72546144876898,3.0430254071670557,0.7944040935890673,0.0376609838557868,27,0.0056421110285557,0.0005485791938258,56.86896780277999,5.358982260928114,0.5039579542986782,0.0682366896779451,6,0.0054300921742617,0.0001984535923646,113.20311722180536,3.696844038020606,0.9654791916170732,0.0473197656947051,21,0.005454628027362,0.0001866176308444,95.03883423461066,3.0430254071670557,0.8142233835915825,0.0381532138742658,27,0.006258996781506701,0.00035861028636329997,0.0006553933699574116,83.38737438918538,73.87842831770953,74.0725378366901,6,0.0058803477459455,0.0003876184872846791,0.0004354674729612738,142.9859930153328,65.79527807941238,65.89905366079738,21,0.0058200123653628,0.00038343976080235196,0.0004264413093335842,127.48745833223917,71.25605386031174,71.32100122244718,27,0.8197517607479212,0.7332227409938344,1.3206077329437982,0.6164456894214573,1.165383059433456,0.6575246974887986
3,[0.006 0.008],0.007,0.0071253636830359,0.0001447160321887,83.2444655275999,1.960081042244366,0.9316219998071782,0.0289690029362318,50,0.0071268348366024,8.92293855670845e-05,76.30567982322944,1.408412229234532,0.8541435989809852,0.01905017403699,98,0.0071264296018792,7.595230665612368e-05,78.66836937067151,1.1437618870320003,0.8805407882214202,0.0158735121456074,148,0.0071253636830359,0.0001447160321887,81.82596385939334,1.960081042244366,0.9157469821409736,0.0287594483455055,50,0.0071268348366024,8.92293855670845e-05,78.42544886010023,1.408412229234532,0.8778716773934404,0.01921851627792,98,0.0071264296018792,7.595230665612368e-05,79.58334039718709,1.1437618870320003,0.890782125563645,0.0159382866535261,148,0.007012966912387001,0.00021333339208865973,0.0002577864739517857,107.93019185510296,45.39572678175046,45.43802292943105,50,0.007079377228110347,0.00017272940586498284,0.00019441535664434893,100.82437140716726,49.801970069950464,49.82188121554322,98,0.0070193499527155005,7.815233012332685e-05,0.00010897953748337947,103.84867231232849,46.46367849517573,46.47775393193267,148,1.188836332883528,0.5023977963148152,1.1210833641375197,0.5548328348434893,1.1449200843422538,0.5127203018096851
4,[0.008 0.01 ],0.009,0.0091146778674221,5.901538096090547e-05,55.713955491431214,0.8965211603847929,0.7975954131155835,0.0138345208019953,250,0.0091309056162426,3.4871899614737724e-05,51.83343145200688,0.5741874745712605,0.7433633492213316,0.0087102934545598,500,0.0091267059327592,3.0022327394129813e-05,52.96218393210819,0.483520302383332,0.7592018772193259,0.0073673611096135,750,0.0091146778674221,5.901538096090547e-05,56.17900755204516,0.8965211603847929,0.8042530518908931,0.0138506696639777,250,0.0091309056162426,3.4871899614737724e-05,53.51255773074014,0.5741874745712605,0.7674443506013084,0.0087407013978119,500,0.0091267059327592,3.0022327394129813e-05,54.28816479264363,0.483520302383332,0.7782095367177685,0.007388790323478,750,0.009116938107109727,0.00013807637324872232,0.00015015958191031727,72.38468497284623,23.328298366562656,23.345518946264345,250,0.009166597587829261,8.847604261292934e-05,9.51002602477261e-05,65.4887004272681,23.00227148387343,23.009436861291743,500,0.009103851580793586,5.6831796742857696e-05,6.427435929810432e-05,67.96613146758102,23.759884557284224,23.76480393477485,750,1.0365088762961965,0.33473061457201636,0.9428701115362733,0.3314215432436088,0.9718406272513137,0.33987971706242726
5,[0.01  0.012],0.011,0.0112996933043838,4.656020723508967e-05,36.739521467321595,0.5733617081250044,0.652044869120719,0.0105246111546421,532,0.0112346822788633,2.648449409336805e-05,29.87577669041161,0.3799593450036812,0.5271780629296962,0.0068188425443285,1203,0.0112505749628582,2.3020779245003132e-05,31.97023023859683,0.3167258341286001,0.5649341287862418,0.0057148755402474,1735,0.0112996933043838,4.656020723508967e-05,36.82167544732549,0.5733617081250044,0.6535029197158263,0.0105261464577696,532,0.0112346822788633,2.648449409336805e-05,30.940594634706045,0.3799593450036812,0.5459674877892707,0.0068270542203692,1203,0.0112505749628582,2.3020779245003132e-05,32.735190875608254,0.3167258341286001,0.5784514656274413,0.0057205343191096,1735,0.011433319234691,0.00020157439215178987,0.00020688182247152132,43.367858590366986,7.391379102868967,7.413584065124781,532,0.011289550838204761,0.00019599136081321715,0.0001977727027190515,37.15513684510684,7.605760847866982,7.6152457070538375,1203,0.011330933131160742,0.00016854736383072503,0.00017011222804764496,38.93736439996663,7.761019794566721,7.76747986837822,1735,0.7787851082190036,0.13387432738597654,0.6588292302480107,0.13552471875168925,0.6929622214723987,0.13862755551622094
6,[0.012 0.014],0.013,0.0128923614331802,2.826813162786212e-05,30.571800178319872,0.3620619567894137,0.6190572513695303,0.0074560905779417,1257,0.0129595033193077,1.6210774336363932e-05,25.200840799581652,0.2092731265447251,0.5129567139311262,0.0043077565256883,3333,0.0129428872972533,1.4062543093296484e-05,26.54585993105602,0.1811845623382102,0.539641447414575,0.003729612956011,4590,0.0128923614331802,2.826813162786212e-05,30.86535481839636,0.3620619567894137,0.6250015244431649,0.0074584743148919,1257,0.0129595033193077,1.6210774336363932e-05,27.303987247848024,0.2092731265447251,0.5557657257255479,0.0043160575474442,3333,0.0129428872972533,1.4062543093296484e-05,28.195840486500753,0.1811845623382102,0.5731833216450053,0.0037355155405479,4590,0.012933891114583576,1.3328646509070188e-05,3.125284120674291e-05,30.745015219918216,0.26666067784748304,0.44966296007594225,1257,0.012984357835402372,5.217116776985893e-05,5.4631675345492405e-05,27.35985848113537,0.237912117720004,0.31685551478839935,3333,0.012964038854010533,3.074779790968561e-05,3.3810977426653724e-05,28.13438489865002,0.2718083474765117,0.3266613282707351,4590,0.6245701774760557,0.009258516437951772,0.5579710325512804,0.0068751326746367405,0.5728686800134347,0.006817173457872543
7,[0.014 0.016],0.015,0.0147448306242095,6.540248802244848e-05,29.483825311867488,0.6428578585840476,0.6828116902984467,0.0151927995982467,409,0.0146704266464,3.5300315091775084e-05,23.20697041610716,0.3443223704241497,0.5347348921498344,0.0080375329241139,1303,0.0146872120303388,3.106431864742302e-05,24.606250126629345,0.3035261975202917,0.5676258031491949,0.0071040318961661,1712,0.0147448306242095,6.540248802244848e-05,30.104870191836365,0.6428578585840476,0.6971943797818247,0.015205645916855,409,0.0146704266464,3.5300315091775084e-05,25.02838886862681,0.3443223704241497,0.5767040067005131,0.008054316369435,1303,0.0146872120303388,3.106431864742302e-05,26.16007303759014,0.3035261975202917,0.6034699473502341,0.0071172362523646,1712,0.014557862748935101,0.00025501330680372815,0.00026326654190477546,27.204608441460568,3.7390822549777525,3.793942848255991,409,0.0145224358903819,0.00020418577608723805,0.00020721472776307747,22.457701575697772,3.7495688414876907,3.7653451889341896,1303,0.0145493917167447,0.00022348801462416534,0.00022563662063964656,23.42385915220977,3.8211995104804792,3.833235428652587,1712,0.6220387363816865,0.08747555955183878,0.5122501626041686,0.08619629470889462,0.5352795047989968,0.0879891481804014
8,[0.016 0.018],0.017,0.0169236324436429,9.739119612001488e-05,22.68878721711726,0.9533441529682642,0.6030900969330264,0.0255773788179031,184,0.0169935476835848,6.376642858130704e-05,15.728800057675333,0.6320710568102377,0.4198140573641782,0.0169438628508777,376,0.0169725690013363,5.334858145615302e-05,17.8540338673294,0.5268037360574391,0.4759499304396462,0.0141229071830657,560,0.0169236324436429,9.739119612001488e-05,21.174838163050342,0.9533441529682642,0.5628478542326303,0.0255469852331064,184,0.0169935476835848,6.376642858130704e-05,17.391034187311487,0.6320710568102377,0.464180395018222,0.0169601508629763,376,0.0169725690013363,5.334858145615302e-05,18.54641967210145,0.5268037360574391,0.4944074385897609,0.0141291705084089,560,0.016997088841120073,6.292814431694063e-05,0.00011595256111384909,17.008410972475623,6.798781203576787,6.865296128216744,184,0.017020883273128447,5.900611739331415e-05,8.687853189280136e-05,14.157799836861393,6.561321603941003,6.591695913131927,376,0.017028534839892424,3.216897051006723e-05,6.229698072187262e-05,15.158067732014235,6.7957145230431095,6.816102849504482,560,0.4540624791125494,0.1833045170186519,0.3784906817372948,0.176231153948807,0.40541373311505324,0.1823077454310011
9,[0.018 0.02 ],0.019,0.0188151245136429,0.000140467264139,24.868928946745346,1.3639296465578516,0.7349224407432954,0.0406783403868058,90,0.0189604901094218,8.268943531209738e-05,16.51859747640669,0.8375334860646632,0.4919263205680904,0.0250339693824782,200,0.0189230796453093,7.125918575355627e-05,18.805083475750298,0.71371427787047,0.5589132601756852,0.0213167413180954,290,0.0188151245136429,0.000140467264139,25.255560322158505,1.3639296465578516,0.7463481066694415,0.0406899334141661,90,0.0189604901094218,8.268943531209738e-05,19.728362038086058,0.8375334860646632,0.5875135926093156,0.0250731345664833,200,0.0189230796453093,7.125918575355627e-05,21.24181830470479,0.71371427787047,0.6313364115640233,0.0213453943756941,290,0.018930014098857303,0.00011640390385858036,0.00018243059263241244,23.3514722346835,7.361222864577929,7.486514953083598,90,0.019056951597825854,9.305462360710212e-05,0.00012448576499701877,18.24273343810456,6.601617685443712,6.654533672996389,200,0.018945986143795484,3.858130976475832e-05,8.103325871161835e-05,19.73817458275649,6.874628394598636,6.911577506926909,290,0.6942925969525768,0.22269172723797445,0.5460352420092262,0.1992131546642971,0.5873561653112925,0.2056857113875695
