Name                    |MPF            |     plx|  e_plx|  Teff|e_Teff| logg|e_logg|   plxsp| e_plxsp|Comment
SDSS J121701.40+640402.9|52317-0599-051 |10.60756|0.07350|  7858|   41|7.559|0.070|11.10508| 0.55557|
SDSS J121723.56+390059.5|53493-2001-488 | 3.27684|0.21106| 20827|  378|7.934|0.055| 3.04498| 0.15621|
SDSS J121729.25+384314.2|53493-2001-483 | 6.88409|0.18530|  9831|   63|8.085|0.064| 7.34106| 0.38253|
SDSS J121730.20+322633.6|53737-2004-631 |12.36929|0.14085|  7325|   51|7.870|0.085|11.77485| 0.72330|
SDSS J121741.91+223743.5|54477-2645-493 | 8.17576|0.26576|  8963|   49|7.980|0.062| 8.13756| 0.38957|
SDSS J121754.94+053829.5|52378-0843-625 | 5.32023|0.17091| 18914|  251|8.204|0.042| 5.27774| 0.21524|
SDSS J121756.20+021046.5|52282-0518-102 | 1.59376|0.14957| 68989| 2040|7.519|0.089| 1.66520| 0.15606|models with C/N/O
SDSS J121845.69+264831.8|53816-2231-133 | 5.13849|0.25734| 26416|  164|7.863|0.024| 4.77980| 0.10941|
SDSS J121851.58+170319.4|54231-2597-223 | 2.78582|0.27712| 19103|  370|7.740|0.062| 2.42080| 0.13985|
SDSS J121856.18+254557.1|54502-2657-571 |11.54087|0.09867| 16691|  102|8.477|0.016|11.41924| 0.20117|
SDSS J121911.40+655813.7|52317-0599-561 | 4.45275|0.12378| 18243|  221|7.918|0.039| 4.11322| 0.14670|
SDSS J121934.06+124420.8|53115-1613-514 | 5.50667|0.19219| 11076|  132|7.964|0.059| 5.29821| 0.26545|
SDSS J121938.88+135931.0|53436-1767-300 | 8.17562|0.19038|  9553|   69|7.794|0.084| 7.32810| 0.45488|
SDSS J121940.30+401521.6|54885-3238-406 |11.12401|0.21962|  6502|   81|7.923|0.162|10.42465| 1.15608|
SDSS J122015.09+134911.7|53468-1766-008 | 4.70495|0.17818| 16433|  296|7.855|0.057| 4.33266| 0.22230|
SDSS J122018.03+441424.3|53090-1370-009 |20.73864|0.11136|  7194|   81|8.532|0.123|21.62615| 2.31914|
SDSS J122056.89+153354.9|53436-1767-393 | 5.89316|0.13387| 20026|  179|8.013|0.027| 5.50184| 0.13964|
SDSS J122121.00+330635.0|53818-2013-377 |10.85900|0.13249|  7802|   54|7.966|0.082|10.72478| 0.65459|
SDSS J122123.14+622516.5|52370-0780-279 | 8.77484|0.09659|  9321|   51|8.111|0.057| 9.58688| 0.44641|
