Name                    |MPF            |     plx|  e_plx|  Teff|e_Teff| logg|e_logg|   plxsp| e_plxsp|Comment
SDSS J134851.16+461849.9|56740-7429-0970| 9.89688|0.10417|  8792|   52|8.078|0.064|10.04607| 0.51209|
SDSS J134853.49+505428.2|56401-6740-0174| 1.27964|0.14004| 45892|  892|7.746|0.082| 1.36504| 0.10239|
SDSS J134914.29+344241.7|55268-3853-0350| 3.32794|0.20736| 17478|  185|7.780|0.034| 2.90895| 0.08933|
SDSS J134920.68+273508.2|56105-6006-0308| 3.18244|0.08808| 30299|  105|7.840|0.022| 3.02129| 0.05763|
SDSS J134922.53-003503.6|55605-4040-0342| 5.17848|0.10952| 16164|  102|7.626|0.020| 5.13478| 0.09625|
SDSS J134939.28+434303.9|56364-6631-0659| 2.86186|0.14190| 25457|  291|7.955|0.042| 2.62105| 0.10409|
SDSS J134946.37+125613.5|56010-5443-0738| 6.30792|0.43377| 15437|  678|8.712|0.048| 4.82657| 0.34849|
SDSS J135005.30+272545.2|56105-6006-0274| 7.18315|0.23906| 17127|  352|8.838|0.035| 6.11244| 0.28315|
SDSS J135020.10+435750.4|56364-6631-0646| 6.61863|0.06151| 20336|  129|7.897|0.019| 6.18038| 0.11066|
SDSS J135045.21+443029.7|56365-6629-0484| 2.44947|0.19177| 21471|  401|7.956|0.056| 2.26825| 0.12025|
SDSS J135106.66+110013.7|55987-5445-0554| 4.33562|0.13394| 24327|  175|7.862|0.024| 3.95223| 0.09268|
SDSS J135155.60+330847.2|55274-3861-0602| 2.45569|0.25744| 21615|  297|8.094|0.042| 2.37401| 0.09622|
SDSS J135155.66+075458.0|55978-5442-0094| 0.89806|0.24024| 48354| 1080|7.487|0.087| 1.02046| 0.08608|
SDSS J135156.88+365420.3|55243-3852-0188|10.22067|0.14979|  7088|   39|7.786|0.069| 9.02841| 0.44118|
SDSS J135310.10+351642.9|55268-3853-0200| 6.32130|0.21628|  8482|   55|8.040|0.073| 6.04528| 0.34096|
SDSS J135331.35+215920.4|56064-5869-0814| 5.13979|0.14078| 17085|  123|7.934|0.023| 4.97600| 0.10324|
SDSS J135342.67+255201.6|56090-6005-0698| 1.82185|0.16572| 30801|  214|7.816|0.046| 1.91886| 0.07599|
SDSS J135356.88-025630.3|55361-4041-0370| 2.13580|0.16356| 52185| 1088|7.800|0.080| 1.68890| 0.12726|
SDSS J135406.24+075747.9|55958-5447-0458| 1.38670|0.23956| 39109|  637|7.837|0.074| 1.39087| 0.09420|
SDSS J135416.18+534113.8|56426-6756-0806| 5.10947|0.18863| 14385|  446|8.405|0.051| 4.24029| 0.25596|
SDSS J135416.75+093426.6|55987-5445-0286| 2.57516|0.25520| 18973|  264|7.682|0.045| 2.47732| 0.10490|
SDSS J135425.59+253508.5|56090-6005-0296| 3.95458|0.10957| 22686|  182|7.842|0.025| 3.78115| 0.09165|
SDSS J135446.87+083930.1|55958-5447-0472| 1.05534|0.18326| 62066| 2409|7.546|0.132| 0.91851| 0.11975|
SDSS J135447.08+594711.0|56454-6809-0240| 2.97524|0.22445| 17200|  252|7.879|0.048| 2.59316| 0.11017|
SDSS J135451.44+253047.9|56090-6005-0272| 3.42931|0.11252| 28607|  143|7.878|0.025| 3.24336| 0.07467|
SDSS J135453.75-011518.3|55605-4040-0042| 4.14789|0.24437| 18870|  189|7.913|0.032| 3.62066| 0.10792|
SDSS J135507.66+530456.8|56426-6756-0148| 1.65187|0.16430| 19823|  276|7.584|0.045| 1.90977| 0.08300|
SDSS J135512.35+312015.9|56363-6494-0788| 4.93135|0.14412| 17221|  150|7.974|0.028| 4.61500| 0.11697|
SDSS J135517.59+400327.7|55707-4710-0864| 8.78385|0.06879| 11985|   73|7.937|0.025| 9.21670| 0.18582|
SDSS J135519.54+040703.6|55677-4784-0394| 5.05908|0.12926| 18629|  135|8.074|0.023| 4.95775| 0.10852|
SDSS J135530.99+493426.7|56425-6745-0770| 2.14324|0.16754| 24214|  266|7.701|0.037| 2.06922| 0.07518|
