radius_bias_-1,vg_bias_-1,radius_bias_0,vg_bias_0,radius_bias_1,vg_bias_1
,,,,,
,,,,,
2.5397423054065657e-05,-0.6831348320265533,0.00048606796628604745,13.955171198481281,0.0001676475933769109,65.77547422322739
1.6573076692717043e-05,-0.4300858804404726,-4.407788352621574e-06,14.596172151746359,-2.9855221725708612e-05,42.44299149309773
-1.9415412161830764e-06,0.0352687151239266,1.7295904606993984e-05,9.235632085042958,0.0001230615457640024,21.098806156703773
-7.125308220700885e-06,0.07941313297512664,6.783044899132118e-05,4.788497131365091,0.00025758651979105804,6.490137235437942
-1.392554911452959e-06,0.007699694960699333,-4.543314610922118e-05,-0.3076512651660366,-6.101779030461864e-05,-0.7282765513857221
-1.7905665596253811e-06,-0.0075176469390356715,-0.00012461794702370473,-3.0627027799819935,-0.00023931858893750171,-5.043019052596755
4.916884633724555e-06,-0.00016672480922963473,0.00015697312401281513,-1.884783282283406,0.00018868190581719513,-7.440337201908667
2.319161244111051e-05,-0.042871407530455485,-9.068966379255361e-06,-0.6126802440129975,5.8677468884871936e-05,-5.042623726962601
2.6961722438902797e-05,-0.026538278117083536,-5.624121087972889e-05,-0.7147179983582177,-2.2117773141955288e-05,-3.066128269625576
-3.196271140225304e-07,0.0005035114079214864,2.582598484672169e-05,-0.7985492320861329,6.308538647010337e-05,-2.66296511490237
-5.698784016523739e-07,0.0007885753042309318,-0.00027746707118368047,-0.6551523108849091,-0.00023433110604748758,-1.7472346683876845
,,-0.0004936595040056294,-0.11823780694349662,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
