radius_bias_-1,vg_bias_-1,radius_bias_0,vg_bias_0,radius_bias_1,vg_bias_1
,,,,,
,,,,,
8.023992164254024e-05,3.0116972255140837,0.0004145077822308614,34.4438290401236,0.0002577133509537293,76.1429861539014
-2.3616832715445818e-05,1.512588447807218,-1.4827260882335075e-05,23.180801032241718,-3.87174207862025e-05,48.766528461091916
7.83280771851115e-06,0.5545331665073547,-5.903424934092759e-05,14.133305973657542,6.444497441065837e-05,24.232455768153322
-9.417290114301785e-06,0.7331932766362428,6.865358539436504e-05,6.3787292327618275,0.00017983852476579493,8.375703895347534
4.722842908899336e-06,-0.0002714518233304375,1.731368410771636e-05,0.0067875179120981954,4.557380018363304e-05,-0.2497236095339872
6.194101362837559e-06,-0.2805618787308717,-0.00012779501810062863,-2.707758175729847,-0.00023418816530739947,-4.038815709478175
3.0294225315273537e-05,-0.16154531022487717,3.698076124957275e-05,-3.212020494880722,1.3312408264513909e-05,-6.800011245095149
2.8413466919591235e-05,-0.12255251295543523,5.574124626192209e-05,-1.8475710919031467,5.188310186150097e-05,-6.861321059979085
3.013153634052676e-05,-0.04031210836859955,3.8078675984046934e-05,-0.8504478449188628,5.8665603397740906e-05,-4.142836343720049
4.525500917574102e-05,-0.0493659799556756,5.4949997739597856e-06,-0.2899299335869685,4.107519496943102e-05,-2.095847617235618
-1.565672218996686e-05,0.012745456093776752,-8.237439972359414e-05,-0.3486391271459599,-2.8641866703926766e-06,-1.5468267974272791
-4.860736867954782e-05,-0.020153644229448098,3.3633948537017955e-05,-0.3095277889769017,-9.756412891274643e-05,-1.0531485930993565
-6.366834794533163e-05,-0.0476791610717866,-0.00042629636219023576,0.15769334254160317,-0.00027330378117910656,-0.8087091201344787
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
